iter	Passed	Remaining
0	21	6306
1	45	6757
2	81	8078
3	125	9291
4	160	9513
5	207	10206
6	252	10601
7	269	9873
8	314	10213
9	363	10569
10	385	10171
11	430	10371
12	477	10578
13	523	10734
14	569	10849
15	586	10449
16	633	10587
17	680	10691
18	724	10756
19	735	10338
20	780	10409
21	837	10619
22	883	10683
23	932	10767
24	978	10804
25	1000	10585
26	1043	10592
27	1072	10458
28	1090	10224
29	1101	9951
30	1144	9965
31	1161	9760
32	1205	9786
33	1247	9798
34	1291	9815
35	1335	9831
36	1379	9843
37	1391	9632
38	1433	9629
39	1474	9623
40	1515	9611
41	1561	9629
42	1588	9532
43	1630	9524
44	1670	9506
45	1713	9498
46	1755	9484
47	1766	9313
48	1807	9296
49	1850	9288
50	1891	9273
51	1932	9252
52	1972	9228
53	2012	9204
54	2051	9177
55	2093	9157
56	2133	9132
57	2173	9105
58	2213	9079
59	2255	9058
60	2294	9028
61	2335	9004
62	2374	8971
63	2413	8937
64	2453	8909
65	2493	8876
66	2533	8848
67	2573	8819
68	2613	8788
69	2653	8757
70	2694	8729
71	2734	8697
72	2774	8665
73	2814	8632
74	2854	8601
75	2895	8572
76	2933	8533
