event_cause,corridor_grouped,priority,requires_road_closure,veh_type,time_of_day,day_of_week,is_weekend,severity
vehicle_breakdown,Tumkur Road,High,False,lcv,evening,Thursday,False,routine
vehicle_breakdown,ORR East 1,High,False,heavy_vehicle,early_morning,Tuesday,False,routine
others,Non-corridor,Low,False,unknown,early_morning,Saturday,True,high
tree_fall,Non-corridor,Low,True,unknown,evening,Thursday,False,high
vehicle_breakdown,Non-corridor,Low,False,private_bus,early_morning,Tuesday,False,routine
accident,Non-corridor,Low,False,unknown,late_night,Tuesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,early_morning,Tuesday,False,routine
others,Non-corridor,Low,False,unknown,early_morning,Tuesday,False,high
vehicle_breakdown,Non-corridor,Low,False,lcv,early_morning,Tuesday,False,routine
water_logging,ORR East 2,High,False,unknown,evening,Thursday,False,high
vehicle_breakdown,ORR West 1,High,False,private_car,early_morning,Tuesday,False,routine
others,ORR North 1,High,False,unknown,evening,Tuesday,False,high
tree_fall,Non-corridor,Low,False,unknown,evening,Thursday,False,high
vehicle_breakdown,Bellary Road 1,High,False,ksrtc_bus,early_morning,Tuesday,False,routine
vehicle_breakdown,Hosur Road,High,False,heavy_vehicle,evening,Thursday,False,routine
tree_fall,Non-corridor,Low,True,unknown,evening,Thursday,False,high
pot_holes,Non-corridor,Low,False,unknown,night,Friday,False,high
tree_fall,Non-corridor,Low,True,unknown,early_morning,Thursday,False,high
vehicle_breakdown,Bannerghata Road,High,False,bmtc_bus,daytime,Tuesday,False,routine
pot_holes,Non-corridor,Low,False,unknown,daytime,Tuesday,False,routine
vehicle_breakdown,Bannerghata Road,High,True,bmtc_bus,daytime,Tuesday,False,routine
vehicle_breakdown,Bannerghata Road,High,False,lcv,early_morning,Tuesday,False,routine
tree_fall,Non-corridor,Low,False,unknown,night,Thursday,False,high
congestion,ORR North 2,High,False,unknown,early_morning,Tuesday,False,routine
vehicle_breakdown,Magadi Road,High,False,bmtc_bus,night,Thursday,False,routine
accident,Non-corridor,Low,False,unknown,late_night,Tuesday,False,high
vehicle_breakdown,Bannerghata Road,High,False,heavy_vehicle,daytime,Tuesday,False,routine
construction,ORR East 1,High,False,unknown,daytime,Tuesday,False,routine
others,Bellary Road 1,High,True,unknown,night,Thursday,False,routine
vehicle_breakdown,ORR East 1,High,False,bmtc_bus,night,Tuesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,evening,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,early_morning,Thursday,False,high
construction,Non-corridor,Low,True,unknown,night,Tuesday,False,routine
vehicle_breakdown,Tumkur Road,High,False,lcv,evening,Tuesday,False,routine
others,Tumkur Road,High,False,unknown,night,Thursday,False,routine
tree_fall,Bellary Road 1,High,False,unknown,night,Thursday,False,high
vehicle_breakdown,ORR East 1,High,False,bmtc_bus,night,Tuesday,False,routine
congestion,other_corridor,High,False,unknown,night,Tuesday,False,routine
vehicle_breakdown,Mysore Road,High,False,lcv,night,Tuesday,False,routine
construction,ORR East 2,High,False,unknown,night,Tuesday,False,high
vehicle_breakdown,Bellary Road 1,High,False,private_car,night,Tuesday,False,routine
vehicle_breakdown,West of Chord Road,High,False,truck,night,Thursday,False,routine
road_conditions,Non-corridor,Low,False,unknown,night,Tuesday,False,routine
vehicle_breakdown,Non-corridor,Low,True,heavy_vehicle,evening,Tuesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,private_car,night,Tuesday,False,routine
tree_fall,Bellary Road 1,High,False,unknown,night,Thursday,False,high
tree_fall,Bellary Road 1,High,False,unknown,night,Thursday,False,high
tree_fall,Bellary Road 1,High,False,unknown,night,Thursday,False,high
vehicle_breakdown,ORR East 1,High,False,private_car,night,Tuesday,False,routine
tree_fall,Non-corridor,Low,True,unknown,night,Thursday,False,high
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,night,Tuesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,night,Tuesday,False,routine
tree_fall,Non-corridor,Low,False,unknown,night,Thursday,False,high
vehicle_breakdown,West of Chord Road,High,False,bmtc_bus,late_night,Wednesday,False,routine
vehicle_breakdown,West of Chord Road,High,False,bmtc_bus,late_night,Wednesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,auto,late_night,Wednesday,False,routine
pot_holes,Magadi Road,High,False,unknown,night,Tuesday,False,high
others,Non-corridor,Low,False,unknown,night,Tuesday,False,high
vehicle_breakdown,Non-corridor,Low,False,lcv,night,Tuesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,others,night,Tuesday,False,routine
pot_holes,Non-corridor,Low,False,unknown,night,Thursday,False,high
vehicle_breakdown,ORR East 1,High,True,bmtc_bus,night,Tuesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,heavy_vehicle,evening,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,heavy_vehicle,evening,Thursday,False,routine
others,Non-corridor,Low,False,unknown,night,Thursday,False,routine
tree_fall,Non-corridor,Low,False,unknown,night,Thursday,False,routine
construction,ORR East 2,High,False,unknown,night,Thursday,False,high
others,Mysore Road,High,True,unknown,night,Thursday,False,high
others,Non-corridor,Low,False,unknown,night,Thursday,False,high
pot_holes,Non-corridor,Low,False,unknown,night,Thursday,False,high
vehicle_breakdown,Non-corridor,Low,False,lcv,late_night,Wednesday,False,routine
vehicle_breakdown,Mysore Road,High,False,bmtc_bus,early_morning,Wednesday,False,routine
vehicle_breakdown,ORR North 1,High,False,private_bus,night,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,heavy_vehicle,late_night,Wednesday,False,routine
water_logging,Mysore Road,High,False,unknown,late_night,Wednesday,False,high
vehicle_breakdown,Magadi Road,High,False,lcv,late_night,Wednesday,False,routine
vehicle_breakdown,Mysore Road,High,False,bmtc_bus,late_night,Wednesday,False,routine
vehicle_breakdown,Mysore Road,High,False,heavy_vehicle,early_morning,Wednesday,False,routine
vehicle_breakdown,ORR East 1,High,False,bmtc_bus,late_night,Wednesday,False,routine
tree_fall,Non-corridor,Low,False,unknown,night,Thursday,False,routine
tree_fall,Non-corridor,Low,True,unknown,night,Thursday,False,high
tree_fall,Mysore Road,High,True,unknown,night,Thursday,False,high
vehicle_breakdown,Bellary Road 1,High,False,truck,late_night,Wednesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,late_night,Wednesday,False,routine
vehicle_breakdown,ORR West 1,High,False,others,early_morning,Wednesday,False,routine
tree_fall,Mysore Road,High,False,unknown,night,Thursday,False,high
tree_fall,Non-corridor,Low,False,unknown,night,Thursday,False,high
vehicle_breakdown,Non-corridor,Low,False,private_bus,night,Thursday,False,routine
pot_holes,ORR East 1,High,False,unknown,late_night,Saturday,True,high
construction,Bellary Road 1,High,False,unknown,night,Thursday,False,high
vehicle_breakdown,Non-corridor,Low,True,lcv,night,Thursday,False,routine
vehicle_breakdown,ORR North 1,High,False,bmtc_bus,night,Thursday,False,routine
congestion,ORR North 2,High,False,unknown,early_morning,Wednesday,False,routine
vehicle_breakdown,Hosur Road,High,False,bmtc_bus,early_morning,Wednesday,False,routine
vehicle_breakdown,Magadi Road,High,False,heavy_vehicle,early_morning,Wednesday,False,routine
vehicle_breakdown,Tumkur Road,High,False,lcv,evening,Thursday,False,routine
tree_fall,Non-corridor,Low,True,unknown,night,Thursday,False,routine
vehicle_breakdown,Mysore Road,High,False,lcv,daytime,Wednesday,False,routine
vehicle_breakdown,Hosur Road,High,False,bmtc_bus,daytime,Wednesday,False,routine
accident,Non-corridor,Low,False,unknown,daytime,Wednesday,False,routine
accident,Tumkur Road,High,False,unknown,evening,Wednesday,False,routine
vehicle_breakdown,Bannerghata Road,High,False,heavy_vehicle,evening,Wednesday,False,routine
others,Non-corridor,Low,False,unknown,daytime,Saturday,True,high
vehicle_breakdown,Bellary Road 2,High,False,heavy_vehicle,night,Wednesday,False,routine
vehicle_breakdown,Magadi Road,High,False,bmtc_bus,night,Wednesday,False,routine
accident,Tumkur Road,High,False,unknown,evening,Wednesday,False,routine
vehicle_breakdown,Hosur Road,High,True,heavy_vehicle,evening,Wednesday,False,routine
others,ORR North 2,High,False,unknown,early_morning,Thursday,False,high
vehicle_breakdown,Bellary Road 1,High,False,lcv,night,Wednesday,False,routine
vehicle_breakdown,Tumkur Road,High,False,heavy_vehicle,night,Wednesday,False,routine
pot_holes,Non-corridor,Low,True,unknown,late_night,Sunday,True,high
construction,ORR East 2,High,False,unknown,night,Wednesday,False,high
vehicle_breakdown,Non-corridor,Low,False,private_bus,night,Thursday,False,routine
water_logging,ORR East 1,High,False,unknown,night,Thursday,False,routine
vehicle_breakdown,Mysore Road,High,True,bmtc_bus,night,Thursday,False,routine
tree_fall,Mysore Road,High,True,unknown,night,Thursday,False,high
road_conditions,ORR West 1,High,False,unknown,night,Wednesday,False,high
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,night,Wednesday,False,routine
vehicle_breakdown,Bannerghata Road,High,False,heavy_vehicle,evening,Wednesday,False,routine
vehicle_breakdown,Mysore Road,High,False,heavy_vehicle,night,Wednesday,False,routine
vehicle_breakdown,ORR East 1,High,False,lcv,night,Wednesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,others,night,Wednesday,False,routine
vehicle_breakdown,Tumkur Road,High,False,private_bus,night,Wednesday,False,routine
vehicle_breakdown,Hosur Road,High,False,bmtc_bus,late_night,Friday,False,routine
construction,Old Madras Road,High,False,unknown,night,Wednesday,False,routine
water_logging,ORR East 1,High,False,unknown,early_morning,Thursday,False,high
vehicle_breakdown,Non-corridor,Low,False,others,night,Thursday,False,routine
others,Non-corridor,Low,False,unknown,late_night,Friday,False,routine
others,Mysore Road,High,False,unknown,night,Wednesday,False,routine
tree_fall,Non-corridor,Low,True,unknown,late_night,Friday,False,routine
pot_holes,Non-corridor,Low,False,unknown,night,Wednesday,False,high
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,night,Thursday,False,routine
construction,Bellary Road 2,High,False,unknown,late_night,Thursday,False,routine
vehicle_breakdown,Tumkur Road,High,False,ksrtc_bus,night,Thursday,False,routine
pot_holes,Non-corridor,Low,False,unknown,night,Monday,False,high
